S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
324,0,1,1,0,1,1,2,0,2,0,0
325,0,0,2,1,6,1,0,1,2,0,1
326,0,0,3,2,7,1,0,1,2,0,0
327,0,0,2,0,7,1,0,1,2,0,1
328,0,1,1,1,0,1,0,4,2,5,0
329,0,0,0,1,4,1,2,1,2,0,1
330,0,0,1,0,1,1,2,1,2,0,0
331,0,0,3,1,5,1,0,1,2,0,0
332,0,0,1,1,8,1,0,1,2,0,0
333,0,0,2,1,6,1,0,1,2,0,0
334,0,0,2,0,1,1,3,1,2,0,0
335,0,0,1,1,0,1,2,1,2,0,1
336,0,1,2,1,4,1,0,1,2,0,0
337,0,0,3,0,1,1,2,1,2,0,1
338,0,0,2,1,4,1,3,1,2,0,0
339,0,0,1,1,8,1,0,1,2,0,0
340,0,0,2,1,0,1,0,1,2,0,0
341,0,0,3,1,4,1,0,0,0,1,1
342,0,1,1,0,0,1,0,4,2,5,1
343,0,0,3,1,1,1,2,4,2,5,0
344,0,0,1,1,1,1,2,0,2,2,0
345,0,0,1,1,4,1,1,1,2,0,1
346,0,0,0,0,1,0,0,1,2,0,1
347,0,0,0,0,9,0,1,4,2,5,0
348,0,0,3,1,8,1,0,1,2,0,0
349,0,0,3,0,2,1,3,1,2,0,0
350,0,1,2,0,1,1,3,0,0,1,0
351,0,0,3,0,2,1,1,3,2,5,0
352,0,0,1,0,0,1,2,1,2,0,0
353,0,1,0,1,1,0,0,0,2,2,1
354,0,0,3,1,6,1,0,0,0,1,1
355,0,0,1,1,0,1,0,0,0,1,1
356,0,0,2,1,1,1,3,3,2,5,0
357,0,0,1,1,0,1,2,0,2,2,1
358,0,0,2,1,1,1,0,1,2,0,0
359,0,0,0,1,0,1,0,0,2,2,0
360,0,0,1,0,1,0,2,1,2,0,1
361,0,0,2,1,5,1,2,1,2,0,0
362,0,1,1,0,1,0,3,0,0,1,1
363,0,0,1,0,1,1,0,3,2,5,1
364,0,0,3,1,4,1,3,3,2,5,0
365,0,0,3,0,1,1,2,0,2,2,0
366,0,0,2,1,4,1,3,3,2,5,0
367,0,0,3,1,7,1,0,1,2,0,0
368,0,0,2,1,1,1,2,0,0,1,1
369,0,0,2,1,8,1,0,0,2,2,1
370,0,0,2,0,1,1,3,0,0,1,1
371,0,0,3,0,2,1,0,0,0,1,0
372,0,0,3,0,2,1,2,3,2,5,0
373,0,0,2,1,1,1,2,1,2,0,0
374,0,1,0,1,6,0,2,0,0,1,1
375,0,0,0,1,6,0,2,1,2,0,1
376,0,0,1,1,0,1,0,0,2,2,0
377,0,0,1,0,9,1,2,1,2,0,1
378,0,0,3,0,2,1,3,0,2,2,0
379,0,0,3,0,2,1,3,1,2,0,1
380,0,0,0,0,7,1,0,0,2,2,0
381,0,0,1,0,1,1,2,1,2,0,1
382,0,0,0,1,0,0,2,0,2,0,1
383,0,0,0,0,9,0,0,1,2,0,0
384,0,0,3,0,2,1,1,3,2,5,0
385,0,1,2,1,1,0,0,4,2,5,0
386,0,0,2,1,1,1,2,1,2,0,1
387,0,0,3,1,2,1,3,1,2,0,1
388,0,0,1,0,0,1,2,1,2,0,0
389,0,0,1,1,4,1,1,1,2,0,1
390,0,1,2,1,2,0,3,4,2,5,0
391,0,0,2,1,1,1,3,4,2,5,0
392,0,0,2,0,1,1,3,0,0,1,0
393,0,0,2,0,1,1,3,1,2,0,1
394,0,0,1,1,0,1,0,1,2,0,1
395,0,1,0,0,3,1,2,0,0,1,1
396,0,0,3,1,7,1,0,1,2,0,1
397,0,0,1,2,6,1,1,1,2,0,1
398,0,1,1,0,1,1,3,4,2,5,0
399,0,0,1,1,4,1,0,0,2,2,1
400,0,0,1,1,4,1,0,3,2,5,0
401,0,1,1,2,4,0,0,0,2,0,1
402,0,0,1,1,5,0,0,0,2,2,0
403,0,0,0,1,0,1,0,4,2,5,0
404,0,0,1,1,0,1,0,0,2,2,0
405,0,1,0,1,7,0,0,0,2,0,1
406,0,0,0,1,6,1,0,0,2,2,0
407,0,0,0,0,9,0,2,0,2,2,0
408,0,1,0,0,9,0,0,0,2,2,0
409,0,1,1,0,1,1,3,0,0,1,1
410,0,0,0,0,9,0,0,0,2,2,0
411,0,0,1,1,4,1,0,0,2,2,0
412,0,0,1,0,1,1,0,3,2,5,0
413,0,0,0,0,9,0,0,0,2,2,0
414,0,0,1,0,1,1,2,3,2,5,0
415,0,0,3,1,1,1,1,0,2,0,0
416,0,0,1,1,4,1,0,0,2,2,0
417,0,0,3,0,2,1,2,0,2,2,0
418,0,0,2,1,6,1,0,0,2,2,1
419,0,0,3,0,2,1,0,3,2,5,1
420,0,0,3,0,2,0,0,0,0,1,0
421,0,1,2,1,4,1,0,0,2,2,0
422,0,0,2,1,1,1,3,3,2,5,0
423,0,0,3,1,1,0,3,3,2,5,0
424,0,0,0,0,9,0,0,0,2,2,0
425,0,0,1,1,4,1,0,3,2,5,0
426,0,0,2,0,1,1,3,3,2,5,0
427,0,0,1,0,1,1,2,0,2,2,0
428,0,0,2,1,0,1,0,0,2,0,1
429,0,0,1,1,7,0,1,0,2,2,1
430,0,1,2,0,3,0,2,3,2,5,1
431,0,1,0,1,6,0,2,0,2,2,0
432,0,0,0,0,9,1,2,1,2,0,1
433,0,0,2,0,1,1,0,1,2,0,1
434,0,0,1,0,1,0,3,0,0,1,0
435,0,0,2,0,1,1,3,1,2,0,0
436,0,1,1,2,1,0,0,1,2,0,0
437,0,0,2,1,4,1,0,0,2,2,0
438,0,0,2,1,1,1,2,1,2,0,1
439,0,0,3,0,2,1,3,1,2,0,0
440,0,0,1,0,1,1,2,1,2,0,0
441,0,0,1,1,1,1,0,1,2,0,1
442,0,0,1,0,1,1,3,0,2,2,1
443,0,0,3,0,1,1,0,0,2,2,1
444,0,1,3,0,1,0,3,1,2,0,0
445,0,0,3,0,1,1,3,0,2,0,0
446,0,0,2,0,1,1,2,0,0,1,1
447,0,0,0,0,1,0,1,0,2,2,0
448,0,0,2,0,1,1,2,0,0,1,0
449,0,1,2,1,6,1,0,0,0,1,1
450,0,0,3,0,1,1,2,1,2,0,0
451,0,0,3,0,2,0,0,0,2,2,1
452,0,0,0,0,9,0,0,0,0,1,1
453,0,1,3,0,1,1,2,1,2,0,0
454,0,0,1,1,1,1,2,1,2,0,1
455,0,0,2,0,1,1,0,1,2,0,1
456,0,1,2,1,4,0,1,1,2,0,0
457,0,0,2,1,1,1,0,1,2,0,0
458,0,0,1,0,4,1,1,1,2,0,1
459,0,0,0,0,1,0,2,0,2,2,0
460,0,0,2,0,1,1,3,1,2,0,0
461,0,1,2,0,3,1,3,0,0,1,1
462,0,0,2,0,1,1,2,0,2,2,0
463,0,0,1,0,0,1,2,1,2,0,0
464,0,0,3,0,2,1,2,1,2,0,0
465,0,0,0,1,0,0,2,0,0,1,1
466,0,0,2,0,1,1,3,1,2,0,1
467,0,1,1,0,3,1,2,0,0,1,0
468,0,0,2,0,1,1,3,0,0,1,1
469,0,0,2,1,4,1,3,1,2,0,0
470,0,0,1,1,0,1,0,1,2,0,1
471,0,0,1,1,8,0,2,0,2,2,0
472,0,0,1,0,1,1,2,0,2,2,0
473,0,0,3,0,2,1,2,3,2,5,1
474,0,0,1,1,0,1,0,0,2,2,0
475,0,1,0,1,4,1,0,1,2,0,1
476,0,0,0,0,9,0,2,0,2,2,0
477,0,0,0,0,1,0,2,0,2,2,0
478,0,0,2,0,1,1,2,0,2,2,0
479,0,0,1,0,1,0,3,1,2,0,0
480,0,0,0,2,0,1,0,1,2,0,1
481,0,0,1,1,0,1,0,0,2,2,0
482,0,0,0,0,1,0,2,0,2,2,0
483,0,0,0,1,0,0,0,0,2,2,0
484,0,0,2,1,8,1,0,0,2,2,0
485,0,0,1,0,1,1,3,1,2,0,0
486,0,0,3,0,1,1,3,1,2,0,0
487,0,0,1,0,1,1,0,0,2,2,0
488,0,0,3,1,7,1,3,3,2,5,0
489,0,0,2,0,1,1,2,0,2,0,0
490,0,0,1,1,0,1,0,3,2,5,1
491,0,0,3,1,1,1,0,1,2,0,0
492,0,0,3,0,1,1,2,1,2,0,1
493,0,0,2,1,1,1,0,0,2,2,0
494,0,0,2,0,1,1,0,0,0,1,0
495,0,1,2,0,1,0,2,0,0,1,0
496,0,0,2,0,1,1,0,0,2,2,0
497,0,0,2,0,1,1,3,0,2,2,1
498,0,0,2,1,0,1,0,0,2,2,0
499,0,0,0,1,4,0,0,1,2,0,0
500,0,0,0,0,1,0,2,1,2,0,0
501,0,0,0,2,7,0,0,0,2,2,0
502,0,1,1,0,1,0,0,0,2,2,0
503,0,0,0,0,1,0,2,0,2,2,0
504,0,0,3,0,1,1,3,0,0,1,0
505,0,0,2,0,1,1,3,0,2,2,1
506,0,0,2,1,1,1,3,0,2,2,0
507,0,1,2,0,3,0,0,0,2,2,0
508,0,0,1,1,0,1,3,1,2,0,1
509,0,0,0,0,9,0,0,0,2,2,0
510,0,0,1,1,0,1,0,1,2,0,1
511,0,0,0,0,7,1,0,1,2,0,0
512,0,0,2,1,0,1,0,1,2,0,0
513,0,1,1,1,1,1,2,1,2,0,1
514,0,0,1,1,6,0,1,1,2,0,0
515,0,0,0,1,0,0,0,0,0,1,0
516,0,0,2,1,8,1,0,1,2,0,1
517,0,0,0,0,9,0,0,1,2,0,0
518,0,0,1,0,1,1,0,1,2,0,1
519,0,1,3,1,1,1,0,1,2,0,1
520,0,0,3,1,2,1,3,1,2,0,1
521,0,0,1,1,1,1,3,1,2,0,1
522,0,1,2,1,1,1,2,1,2,0,1
523,0,1,2,0,3,1,3,1,2,0,0
524,0,0,2,1,1,0,3,1,2,0,1
525,0,0,2,1,4,1,0,1,2,0,1
526,0,1,2,0,3,1,3,4,2,5,1
527,0,0,3,0,0,1,3,1,2,0,1
528,0,0,0,0,1,0,3,0,2,2,0
529,2,1,0,1,1,1,2,2,3,5,0
530,2,0,2,1,1,1,3,2,1,4,1
531,2,0,2,0,1,1,2,2,1,4,1
532,2,0,0,1,0,1,2,2,4,3,0
533,2,0,1,0,1,0,3,2,3,5,0
534,2,0,0,0,9,0,0,2,3,5,1
535,2,0,0,0,1,0,3,2,4,3,0
536,2,0,1,0,1,1,0,2,4,3,1
537,2,0,2,0,1,1,2,2,3,5,1
538,2,0,1,0,0,1,2,2,4,3,0
539,2,0,0,0,9,0,2,2,4,3,0
540,2,0,0,0,9,0,2,2,4,3,0
541,2,1,0,1,6,0,0,2,3,2,0
542,2,0,1,0,1,1,3,2,3,2,0
543,2,0,2,1,1,1,2,2,4,3,0
544,2,0,1,1,1,0,2,2,4,3,0
545,2,0,0,0,9,0,2,2,4,3,0
546,2,0,1,1,4,1,0,2,1,4,0
547,2,0,0,0,9,0,0,2,4,3,0
548,2,0,0,0,1,0,3,2,3,5,0
549,2,0,1,1,1,0,3,2,1,4,1
550,2,0,2,1,2,1,2,2,3,5,1
551,2,0,2,1,1,1,3,2,1,4,1
552,2,0,3,1,7,1,0,2,3,5,1
553,2,1,3,0,2,1,0,2,1,4,1
554,2,0,1,1,1,1,3,2,4,3,0
555,2,0,0,0,9,0,0,2,4,3,0
556,2,0,1,1,7,1,0,2,4,3,1
557,2,0,1,1,1,1,2,2,1,4,1
558,2,0,2,1,1,1,2,2,1,4,1
559,2,0,0,0,9,0,2,2,4,3,1
560,2,0,0,0,9,0,2,2,4,3,1
561,2,1,0,0,9,0,2,2,4,3,0
562,2,0,1,0,1,1,2,2,4,3,1
563,2,0,0,0,9,0,0,2,4,3,0
